order_id,customer_name,order_date,city,category,units_sold,unit_price,discount,sales,payment_method
1076,Aarav,2025-05-31,Meerut,Grocery,9,781.7,0.15,23920.0,Cash
1077,Vikash,2025-06-02,Gurugram,Electronics,3,5189.73,0.17,12922.43,Net Banking
1078,Tanya,2025-06-04,Noida,Clothing,8,1275.9,0.06,9594.77,UPI
1079,Rohit,2025-06-06,Meerut,Clothing,6,1807.19,0.03,10517.85,Card
1080,Arjun,2025-06-08,Meerut,Clothing,8,1643.67,0.15,11176.96,UPI
1081,Aarav,2025-06-10,Ghaziabad,Electronics,3,5689.44,0.21,13483.97,Card
1082,Simran,2025-06-12,Gurugram,Clothing,10,2094.02,0.2,16752.16,UPI
1083,Ananya,2025-06-14,Delhi,Clothing,4,1998.14,0.1,7193.3,Card
1084,Aarav,2025-06-16,Ghaziabad,Books,1,412.7,0.15,350.79,Cash
1085,Simran,2025-06-18,Gurugram,Books,3,565.87,0.19,1375.06,Card
1086,Ananya,2025-06-20,Delhi,Grocery,10,766.16,0.22,5976.05,UPI
1087,Aarav,2025-06-22,Gurugram,Grocery,10,809.78,0.13,7045.09,Cash
1088,Aarav,2025-06-24,Meerut,Books,5,385.06,0.22,1501.73,UPI
1089,Riya,2025-06-26,Noida,Beauty,4,1066.08,0.09,3880.53,Cash
1090,Tanya,2025-06-28,Ghaziabad,Grocery,6,471.87,0.07,2633.03,Card
1091,Mohit,2025-06-30,Ghaziabad,Books,7,610.1,0.09,3886.34,UPI
1092,Rahul,2025-07-02,Gurugram,Beauty,4,952.92,0.19,3087.46,Card
1093,Isha,2025-07-04,Delhi,Electronics,9,8262.86,0.22,58005.28,Cash
1094,Arjun,2025-07-06,Ghaziabad,Beauty,5,971.21,0.13,4224.76,Card
1095,Dev,2025-07-08,Ghaziabad,Clothing,9,1335.53,0.18,9856.21,Net Banking
1096,Isha,2025-07-10,Noida,Grocery,2,716.46,0.05,1361.27,UPI
1097,Rahul,2025-07-12,Ghaziabad,Books,5,469.12,0.14,2017.22,UPI
1098,Priya,2025-07-14,Meerut,Books,3,659.54,0.12,1741.19,UPI
1099,Karan,2025-07-16,Meerut,Electronics,9,4672.7,0.12,37007.78,Card
1100,Rahul,2025-07-18,Delhi,Grocery,6,581.41,0.06,3279.15,UPI
1101,Dev,2025-07-20,Gurugram,Electronics,1,7188.1,0.16,6038.0,UPI
1102,Rohit,2025-07-22,Noida,Clothing,10,1428.09,0.17,11853.15,Card
1103,Simran,2025-07-24,Noida,Books,9,598.27,0.17,4469.08,UPI
1104,Rahul,2025-07-26,Ghaziabad,Clothing,2,2013.0,0.19,3261.06,UPI
1105,Priya,2025-07-28,Ghaziabad,Grocery,2,741.17,0.13,1289.64,Card
1106,Rohit,2025-07-30,Meerut,Books,5,673.86,0.22,2628.05,UPI
1107,Rahul,2025-08-01,Noida,Books,2,521.34,0.15,886.28,UPI
1108,Rohit,2025-08-03,Delhi,Books,10,432.02,0.22,3369.76,Net Banking
1109,Riya,2025-08-05,Delhi,Electronics,3,5565.21,0.11,14859.11,UPI
1110,Dev,2025-08-07,Delhi,Clothing,10,1680.86,0.18,13783.05,Card
1111,Rohit,2025-08-09,Gurugram,Grocery,7,476.29,0.07,3100.65,Card
1112,Priya,2025-08-11,Meerut,Electronics,10,7313.34,0.04,70208.06,UPI
1113,Dev,2025-08-13,Noida,Grocery,10,479.57,0.23,3692.69,Card
1114,Vikash,2025-08-15,Ghaziabad,Grocery,2,477.51,0.11,849.97,Net Banking
1115,Karan,2025-08-17,Gurugram,Books,3,692.72,0.03,2015.82,UPI
1116,Mohit,2025-08-19,Delhi,Beauty,2,1065.37,0.16,1789.82,Card
1117,Mohit,2025-08-21,Noida,Electronics,6,5539.36,0.23,25591.84,Cash
1118,Isha,2025-08-23,Meerut,Clothing,7,1629.04,0.2,9122.62,UPI
1119,Ananya,2025-08-25,Ghaziabad,Grocery,3,777.11,0.25,1748.5,Net Banking
1120,Ananya,2025-08-27,Meerut,Electronics,7,6965.02,0.24,37053.91,Card
1121,Neha,2025-08-29,Delhi,Clothing,9,1546.11,0.12,36735.57,Card
1122,Dev,2025-08-31,Meerut,Grocery,2,630.12,0.07,1172.02,Card
1123,Rahul,2025-09-02,Ghaziabad,Electronics,7,7886.68,0.04,52998.49,UPI
1124,Isha,2025-09-04,Ghaziabad,Books,1,385.23,0.08,354.41,Card
1125,Simran,2025-09-06,Ghaziabad,Beauty,1,1165.89,0.17,967.69,UPI
1126,Tanya,2025-09-08,Noida,Electronics,6,6757.14,0.23,31217.99,Net Banking
1127,Simran,2025-09-10,Gurugram,Grocery,2,525.99,0.02,1030.94,Card
1128,Simran,2025-09-12,Noida,Books,8,649.06,0.21,4102.06,UPI
1129,Rohit,2025-09-14,Delhi,Beauty,5,671.15,0.2,2684.6,UPI
1130,Riya,2025-09-16,Noida,Clothing,3,1702.8,0.18,4188.89,Net Banking
1131,Tanya,2025-09-18,Gurugram,Electronics,7,6785.22,0.05,45121.71,Cash
1132,Rahul,2025-09-20,Meerut,Beauty,5,763.48,0.03,3702.88,Card
1133,Simran,2025-09-22,Delhi,Beauty,2,1108.03,0.19,1795.01,UPI
1134,Rohit,2025-09-24,Noida,Electronics,8,7267.89,0.17,48258.79,UPI
1135,Neha,2025-09-26,Delhi,Clothing,4,1434.77,0.11,5107.78,Net Banking
1136,Vikash,2025-09-28,Noida,Books,1,435.36,0.1,391.82,UPI
1137,Vikash,2025-09-30,Noida,Books,9,405.44,0.03,3539.49,Net Banking
1138,Riya,2025-10-02,Gurugram,Electronics,2,6778.84,0.25,10168.26,Cash
1139,Isha,2025-10-04,Ghaziabad,Grocery,7,528.03,0.21,2920.01,UPI
1140,Neha,2025-10-06,Meerut,Books,1,564.18,0.24,428.78,UPI
1141,Isha,2025-10-08,Gurugram,Grocery,10,774.59,0.21,6119.26,Card
1142,Dev,2025-10-10,Gurugram,Electronics,1,7978.82,0.13,6941.57,Cash
1143,Rohit,2025-10-12,Meerut,Electronics,8,5003.77,0.21,31623.83,Net Banking
1144,Vikash,2025-10-14,Meerut,Clothing,4,1618.82,0.07,6022.01,Net Banking
1145,Ananya,2025-10-16,Meerut,Books,4,522.73,0.17,1735.46,UPI
1146,Vikash,2025-10-18,Gurugram,Electronics,3,6045.33,0.07,16866.47,UPI
1147,Simran,2025-10-20,Delhi,Electronics,3,6183.43,0.11,16509.76,Card
1148,Riya,2025-10-22,Gurugram,Clothing,10,1756.79,0.22,13702.96,Card
1149,Ananya,2025-10-24,Noida,Electronics,1,7500.55,0.12,6600.48,Card
1150,Aarav,2025-10-26,Gurugram,Electronics,10,5741.51,0.23,44209.63,UPI
